threshold,roc_auc,average_precision,balanced_accuracy,f1_positive,precision_positive,recall_positive,specificity_negative,tp,fp,tn,fn,task,model,split
0.8483994497391693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,2
0.843550154887444,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0,0,30,2,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,3
0.8342655715598514,0.9655172413793103,0.7555555555555555,0.8160919540229885,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9655172413793104,2,1,28,1,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,4
0.8690293184419011,0.9770114942528736,0.8666666666666667,0.8160919540229885,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9655172413793104,2,1,28,1,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,5
0.8257508476468983,0.9333333333333333,0.5,0.6333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9333333333333333,1,2,28,2,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,6
0.8213715322840381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,7
0.8247662464359876,1.0,1.0,0.75,0.6666666666666666,1.0,0.5,1.0,1,0,30,1,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,8
0.8674717470375772,0.9885057471264368,0.9166666666666666,0.9827586206896552,0.8571428571428571,0.75,1.0,0.9655172413793104,3,1,28,0,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,9
0.8856530124963576,0.9885057471264368,0.9166666666666666,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,29,2,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,10
0.9180856301031372,0.9777777777777777,0.8666666666666667,0.8166666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9666666666666667,2,1,29,1,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,11
0.8314028400126101,1.0,1.0,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,30,1,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,12
0.8361051720409229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,13
0.8440810871674735,0.9540229885057471,0.5888888888888888,0.8160919540229885,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9655172413793104,2,1,28,1,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,14
0.8349998775390548,0.9770114942528736,0.8666666666666667,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,29,1,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,15
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,1
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,2
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,3
0.5,0.9885057471264368,0.9166666666666666,0.9827586206896552,0.8571428571428571,0.75,1.0,0.9655172413793104,3,1,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,4
0.9696629972734138,1.0,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,29,2,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,5
0.5,0.9777777777777777,0.8055555555555556,0.9666666666666667,0.75,0.6,1.0,0.9333333333333333,3,2,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,6
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,7
0.9649287270313812,1.0,1.0,0.75,0.6666666666666666,1.0,0.5,1.0,1,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,8
0.5,1.0,1.0,0.9827586206896552,0.8571428571428571,0.75,1.0,0.9655172413793104,3,1,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,9
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,10
0.960463017588223,1.0,1.0,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,11
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,12
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,13
0.9749094634900082,0.9770114942528736,0.8055555555555556,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,29,2,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,14
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,15
0.9602594599328343,1.0,1.0,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,30,1,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,1
0.9347157677208763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,2
0.9546226412048003,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0,0,30,2,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,3
0.5,0.9885057471264368,0.9166666666666666,0.9827586206896552,0.8571428571428571,0.75,1.0,0.9655172413793104,3,1,28,0,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,4
0.9312918027656295,1.0,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,29,2,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,5
0.5,0.9555555555555556,0.7,0.8,0.5714285714285714,0.5,0.6666666666666666,0.9333333333333333,2,2,28,1,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,6
0.9394594392091854,1.0,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,30,2,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,7
0.9470610020962161,1.0,1.0,0.75,0.6666666666666666,1.0,0.5,1.0,1,0,30,1,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,8
0.9514554599922678,1.0,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,29,2,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,9
0.9321856619440947,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0,0,29,3,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,10
0.957077158488068,1.0,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,30,2,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,11
0.9162360257484009,1.0,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,30,2,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,12
0.9676675584433752,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0,0,30,2,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,13
0.9557535074308576,0.9885057471264368,0.9166666666666666,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,29,1,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,14
0.9435106726465939,1.0,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,29,2,primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,15
